name,qid,measure,value,split
DLM,29,AP(rel=3)@10,0.08928571428571429,test
DLM,3,recip_rank,1.0,train
DLM,3,nDCG@10,0.9045731074930002,train
DLM,3,AP(rel=3)@10,0.1670790538437597,train
DLM,30,recip_rank,1.0,train
DLM,30,nDCG@10,0.7104877911711014,train
DLM,30,AP(rel=3)@10,0.2690476190476191,train
DLM,31,recip_rank,0.5,train
DLM,31,nDCG@10,0.05973950858317049,train
DLM,31,AP(rel=3)@10,0.0,train
DLM,32,recip_rank,1.0,train
DLM,32,nDCG@10,0.9097265836659479,train
DLM,32,AP(rel=3)@10,0.5625,train
DLM,33,recip_rank,1.0,train
DLM,33,nDCG@10,0.3148493293979413,train
DLM,33,AP(rel=3)@10,0.06363636363636363,train
DLM,34,recip_rank,0.25,train
DLM,34,nDCG@10,0.021831790966746853,train
DLM,34,AP(rel=3)@10,0.0,train
DLM,35,recip_rank,1.0,train
DLM,35,nDCG@10,0.7013609467693444,train
DLM,35,AP(rel=3)@10,0.27678571428571425,train
DLM,36,recip_rank,1.0,train
DLM,36,nDCG@10,0.45080559711070317,train
DLM,36,AP(rel=3)@10,0.09421296296296296,train
DLM,37,recip_rank,1.0,train
DLM,37,nDCG@10,0.47050870071374135,train
DLM,37,AP(rel=3)@10,0.26,train
DLM,38,recip_rank,0.5,train
DLM,38,nDCG@10,0.32365778494053776,train
DLM,38,AP(rel=3)@10,0.0873015873015873,train
DLM,39,recip_rank,1.0,test
DLM,39,nDCG@10,0.6250547853444062,test
DLM,39,AP(rel=3)@10,0.13476190476190478,test
DLM,4,recip_rank,1.0,train
DLM,4,nDCG@10,0.7059601543867424,train
DLM,4,AP(rel=3)@10,0.12244897959183673,train
DLM,40,recip_rank,0.5,train
DLM,40,nDCG@10,0.4429945800758886,train
DLM,40,AP(rel=3)@10,0.12753623188405797,train
DLM,41,recip_rank,1.0,train
DLM,41,nDCG@10,0.4265746471106302,train
DLM,41,AP(rel=3)@10,0.11444444444444443,train
DLM,42,recip_rank,0.25,train
DLM,42,nDCG@10,0.06363058562779217,train
DLM,42,AP(rel=3)@10,0.004166666666666667,train
DLM,43,recip_rank,1.0,test
DLM,43,nDCG@10,0.6763532741669612,test
DLM,43,AP(rel=3)@10,0.34375,test
DLM,44,recip_rank,0.25,train
DLM,44,nDCG@10,0.15387242571067086,train
DLM,44,AP(rel=3)@10,0.06481481481481481,train
DLM,45,recip_rank,1.0,train
DLM,45,nDCG@10,0.8134387933037339,train
DLM,45,AP(rel=3)@10,0.3048412698412698,train
DLM,46,recip_rank,1.0,train
DLM,46,nDCG@10,0.8036323222608199,train
DLM,46,AP(rel=3)@10,0.15989583333333332,train
DLM,47,recip_rank,1.0,validation
DLM,47,nDCG@10,0.1926002328024358,validation
DLM,47,AP(rel=3)@10,0.037037037037037035,validation
DLM,5,recip_rank,1.0,train
DLM,5,nDCG@10,0.9595033535854987,train
DLM,5,AP(rel=3)@10,0.1724137931034483,train
DLM,6,recip_rank,1.0,train
DLM,6,nDCG@10,0.6561645402296771,train
DLM,6,AP(rel=3)@10,0.12602960102960103,train
DLM,7,recip_rank,1.0,train
DLM,7,nDCG@10,0.5476761937427763,train
DLM,7,AP(rel=3)@10,0.1246947496947497,train
DLM,8,recip_rank,1.0,test
DLM,8,nDCG@10,0.6294031593480935,test
DLM,8,AP(rel=3)@10,0.10845481049562682,test
DLM,9,recip_rank,1.0,train
DLM,9,nDCG@10,0.6522348881121884,train
DLM,9,AP(rel=3)@10,0.12494824016563147,train
LMART_L,1,recip_rank,1.0,train
LMART_L,1,nDCG@10,0.5203238548145052,train
LMART_L,1,AP(rel=3)@10,0.07777777777777778,train
LMART_L,10,recip_rank,1.0,train
LMART_L,10,nDCG@10,0.867129351686021,train
LMART_L,10,AP(rel=3)@10,0.24390243902439024,train
LMART_L,11,recip_rank,1.0,validation
LMART_L,11,nDCG@10,0.2524593694796051,validation
LMART_L,11,AP(rel=3)@10,0.041666666666666664,validation
LMART_L,12,recip_rank,1.0,train
LMART_L,12,nDCG@10,0.8977981268449278,train
LMART_L,12,AP(rel=3)@10,0.18518518518518517,train
LMART_L,13,recip_rank,0.0,train
LMART_L,13,nDCG@10,0.0,train
LMART_L,13,AP(rel=3)@10,0.0,train
LMART_L,14,recip_rank,1.0,train
LMART_L,14,nDCG@10,0.7180658267033101,train
LMART_L,14,AP(rel=3)@10,0.11443148688046646,train
LMART_L,15,recip_rank,1.0,test
LMART_L,15,nDCG@10,0.7842659232366158,test
LMART_L,15,AP(rel=3)@10,0.13614350502105604,test
LMART_L,16,recip_rank,1.0,train
LMART_L,16,nDCG@10,0.5687902948475906,train
LMART_L,16,AP(rel=3)@10,0.13888888888888887,train
LMART_L,17,recip_rank,1.0,train
LMART_L,17,nDCG@10,0.863994213703202,train
LMART_L,17,AP(rel=3)@10,0.16522045855379186,train
LMART_L,18,recip_rank,1.0,train
